N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
5,1,0.5465,0.434423747,0.533706374,0.5465,0.5045,0.395429362,0.506687005,0.5045,79.459883,3.1786218,2.9418811,2.7186099,2.9009497
5,2,0.5385,0.454731754,0.505245598,0.5385,0.5025,0.421640552,0.489582145,0.5025,66.1176758,2.7143038,2.7837423,2.8097422,2.8096605
5,3,0.5635,0.56572796,0.696433857,0.5635,0.497,0.494392726,0.684608241,0.497,77.8570242,3.4759976,3.0573157,3.3026408,2.9466336
5,4,0.477,0.40359191,0.590032886,0.477,0.474,0.400892245,0.594124063,0.474,84.9872482,3.4375105,3.1615739,3.5616353,3.1533389
5,5,0.661,0.579581374,0.613834631,0.661,0.6425,0.560632649,0.590166316,0.6425,91.5983633,3.4982632,3.0591037,3.5570529,3.0056785
5,6,0.561,0.521164699,0.633374672,0.561,0.5635,0.52328873,0.62987766,0.5635,105.7782592,3.7103257,3.2731892,3.8864063,2.9966769
5,7,0.4,0.28,0.25,0.4,0.399,0.279418827,0.249937578,0.399,104.8777684,3.89724,3.1102416,4.8679911,3.2148301
5,8,0.4665,0.376964204,0.388804923,0.4665,0.407,0.277708742,0.298945475,0.407,103.8208187,4.0279205,3.0789365,4.0292237,3.0691567
5,9,0.5285,0.421198719,0.527491126,0.5285,0.5045,0.39152174,0.509155459,0.5045,110.8788966,4.2060848,3.3070717,3.9757827,3.1889559
5,10,0.5065,0.425797538,0.444377769,0.5065,0.5055,0.42340735,0.437464586,0.5055,118.6290727,4.799067,3.4770162,4.4523294,3.3782488
6,1,0.6985,0.682617331,0.747967655,0.6985,0.66,0.638734434,0.752013231,0.66,113.088743,4.0607612,3.4730973,4.2459861,3.4068099
6,2,0.408,0.301005102,0.254715849,0.408,0.3355,0.237687815,0.41352893,0.3355,119.519701,4.3565916,3.4033908,4.2816895,3.3415821
6,3,0.448,0.333447508,0.581538358,0.448,0.4455,0.328218378,0.570994575,0.4455,113.550369,4.4623444,3.5407826,4.1265233,3.3115572
6,4,0.4115,0.261399375,0.68780896,0.4115,0.33,0.211952045,0.667731868,0.33,108.9716251,4.348076,3.3826263,4.147668,3.5427125
6,5,0.668,0.611142304,0.7928724,0.668,0.6215,0.566108431,0.751433461,0.6215,115.1008963,4.3854103,3.2830047,4.4364463,3.1880073
6,6,0.6115,0.546161441,0.574287786,0.6115,0.567,0.508107977,0.542587643,0.567,112.003415,4.3764766,3.4999226,4.3307019,3.2832816
6,7,0.487,0.387268796,0.487341059,0.487,0.458,0.357373693,0.467622736,0.458,117.4424632,4.4812069,3.3852202,4.1517287,3.2898881
6,8,0.561,0.441560263,0.382498606,0.561,0.5695,0.449202755,0.389508795,0.5695,119.4363569,4.2656078,3.4597985,4.5065295,3.1883632
6,9,0.648,0.5557006,0.613673165,0.648,0.629,0.534247884,0.60533986,0.629,117.5105693,4.3973124,3.2245591,4.2168851,3.228244
6,10,0.668,0.600433848,0.771424,0.668,0.6475,0.581761503,0.752134034,0.6475,117.3729921,4.4355604,3.4473961,4.194055,3.3864537
7,1,0.6425,0.564545459,0.799449116,0.6425,0.6345,0.554744812,0.79272465,0.6345,146.6322243,4.2764271,3.4733777,4.4033287,3.3713579
7,2,0.466,0.38397114,0.628221592,0.466,0.4645,0.379814684,0.422857502,0.4645,135.9190628,4.7075179,3.4054581,4.3783241,3.3172621
7,3,0.6585,0.575698208,0.816087923,0.6585,0.648,0.56643103,0.809721037,0.648,133.1009624,4.4111995,3.1396598,4.6967204,3.1935553
7,4,0.609,0.546042105,0.756172554,0.609,0.583,0.521070077,0.733288874,0.583,136.734132,4.6878064,3.3161619,4.4319843,3.3256944
7,5,0.704,0.642514526,0.833002207,0.704,0.6235,0.575135206,0.793872745,0.6235,143.6033475,5.3333887,3.4213864,4.5592111,3.2536523
7,6,0.6655,0.632750669,0.808480029,0.6655,0.649,0.613527444,0.801062802,0.649,145.2857222,4.6709254,3.301971,4.5633867,3.2674485
7,7,0.5575,0.485820685,0.505729249,0.5575,0.462,0.410085142,0.450470311,0.462,137.5130952,4.6519918,3.3984865,4.7410707,3.3363515
7,8,0.5505,0.43733696,0.74903228,0.5505,0.5425,0.424249559,0.543836633,0.5425,139.0347464,4.425119,3.3668946,4.0944166,3.3355983
7,9,0.694,0.6891039,0.791214873,0.694,0.645,0.638017694,0.759524177,0.645,145.1024847,4.6115775,3.3834867,4.2843256,3.2353835
7,10,0.7675,0.730323434,0.89137098,0.7675,0.7185,0.676208065,0.880218774,0.7185,144.398175,4.8932837,3.4056917,4.5051151,3.3638962
8,1,0.6995,0.631926086,0.636789584,0.6995,0.6175,0.566953464,0.601066645,0.6175,144.6637628,5.0404259,3.406132,4.1126421,3.2935687
8,2,0.344,0.240006241,0.252136174,0.344,0.215,0.09558192,0.196573787,0.215,146.3976401,5.2307217,3.2928182,4.386168,3.2644234
8,3,0.6265,0.519488893,0.606854132,0.6265,0.612,0.493431275,0.602968241,0.612,136.020034,4.5792795,3.4916488,4.3829954,3.3704386
8,4,0.5365,0.458665731,0.833731427,0.5365,0.533,0.450364367,0.813065738,0.533,144.1419147,5.0754258,3.3916639,4.4354379,3.4206692
8,5,0.7835,0.767537602,0.833596294,0.7835,0.752,0.735212001,0.815078699,0.752,148.3067862,4.4422216,3.480902,4.6184969,3.3788531
8,6,0.4515,0.350774758,0.612393279,0.4515,0.4545,0.351524619,0.608361599,0.4545,139.5258169,4.5261341,3.4801618,4.5784123,3.5902806
8,7,0.8185,0.81194928,0.851542581,0.8185,0.8005,0.795140456,0.828953221,0.8005,138.9458174,4.8260794,3.5157906,4.3783403,3.3844469
8,8,0.784,0.781084411,0.82106927,0.784,0.7815,0.777028237,0.817461634,0.7815,143.379401,4.7653022,3.3020486,4.4889102,3.2911231
8,9,0.8,0.777571946,0.883575558,0.8,0.7345,0.720492525,0.87380799,0.7345,138.1641349,4.457093,3.4166223,4.0633147,3.2585469
8,10,0.5915,0.464400027,0.595486527,0.5915,0.5845,0.457315678,0.391428925,0.5845,140.8340611,4.6634698,3.2790642,4.1354305,3.1675142
9,1,0.87,0.866418577,0.893986223,0.87,0.852,0.847624322,0.881937634,0.852,138.3407247,4.2786628,3.3480525,4.1526962,3.160997
9,2,0.8365,0.835011288,0.849187612,0.8365,0.8105,0.807149241,0.832823356,0.8105,136.9593894,4.5589027,3.3119738,4.5857241,3.219587
9,3,0.7925,0.770026699,0.866023449,0.7925,0.7575,0.725994969,0.847197424,0.7575,137.2129724,4.7179927,3.3088013,4.6270077,3.2453646
9,4,0.8635,0.854631877,0.906133056,0.8635,0.8175,0.811957684,0.879259839,0.8175,139.5280837,4.1514404,3.142896,4.1894741,3.1810901
9,5,0.5985,0.474220744,0.599689025,0.5985,0.595,0.468572609,0.60112704,0.595,140.2929739,4.4420302,3.2839193,4.2910795,3.1794701
9,6,0.7585,0.701583376,0.690079895,0.7585,0.6875,0.634310222,0.67592881,0.6875,137.4830125,4.2484794,3.2853912,4.5773289,3.1908951
9,7,0.7145,0.655954992,0.813546313,0.7145,0.6945,0.63012871,0.802391257,0.6945,136.2098944,4.5837675,3.3605384,4.1429209,3.1442118
9,8,0.6775,0.631259069,0.764166633,0.6775,0.6565,0.590919306,0.758933224,0.6565,141.7250197,4.7282663,3.2172595,4.7071831,3.2490097
9,9,0.607,0.524997523,0.620104106,0.607,0.5905,0.504267693,0.58895993,0.5905,138.1236435,4.3614415,3.2942882,4.2960286,3.133906
9,10,0.86,0.848833935,0.895583178,0.86,0.838,0.828227439,0.899629261,0.838,144.479629,4.5248386,3.2542804,4.5437359,3.2730477
10,1,0.814,0.767271081,0.899772038,0.814,0.7925,0.744857009,0.889167725,0.7925,172.4135814,4.799308,3.3284507,4.6928493,3.2252473
10,2,0.863,0.844793282,0.918694362,0.863,0.838,0.82143445,0.904654916,0.838,164.4973603,5.1944674,3.4082582,4.5677021,3.2331912
10,3,0.857,0.849465358,0.861828115,0.857,0.839,0.830197846,0.841164328,0.839,166.522027,4.6363397,3.2761281,4.5449891,3.1857559
10,4,0.747,0.713078959,0.878956432,0.747,0.714,0.672319044,0.865489433,0.714,167.9228734,4.81946,3.3034752,4.9368305,3.172552
10,5,0.67,0.587780652,0.62072358,0.67,0.646,0.553301029,0.812871287,0.646,167.4246701,4.6754113,3.1213635,4.2939836,3.143938
10,6,0.948,0.947255141,0.957513368,0.948,0.904,0.902546573,0.922257768,0.904,166.5226794,4.8545411,3.3316297,4.4281523,3.2060563
