N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.5235,0.034433813,0.450450066,0.058762206,0.529608497,0.078435736,0.5235,0.034433813,0.4948125,0.040663203,0.416248941,0.068599815,0.507000339,0.098764962,0.4948125,0.040663203,94.9072827,12.20052148,3.678995512,0.32224703,3.123664175,0.11248844,3.696851663,0.471055176,3.059527538,0.108688645
6,0.562875,0.095906449,0.472089983,0.114511725,0.605817449,0.122427573,0.562875,0.095906449,0.5341875,0.103030923,0.445338554,0.117063106,0.596406538,0.115642567,0.5341875,0.103030923,115.6882256,2.463121445,4.378422438,0.05572446,3.416807062,0.064332981,4.250645075,0.091274005,3.304522475,0.069439784
7,0.6351875,0.054317319,0.571726564,0.078006198,0.772707572,0.060791366,0.6351875,0.054317319,0.59875,0.061659853,0.537907621,0.077268685,0.710562654,0.127511339,0.59875,0.061659853,140.9488457,3.767229625,4.63242765,0.146188903,3.374942113,0.041088079,4.4777995,0.121242504,3.30441085,0.043094277
8,0.659125,0.120582635,0.593931182,0.158143458,0.723932887,0.111827118,0.659125,0.120582635,0.6336875,0.106892159,0.569040271,0.147228696,0.684798088,0.148921551,0.6336875,0.106892159,142.0065686,2.838308457,4.741651212,0.214551039,3.4077497,0.072763225,4.362292088,0.151301822,3.332758737,0.058513757
9,0.76375,0.086455191,0.727787345,0.111977065,0.799084676,0.0939773,0.76375,0.086455191,0.732125,0.081558549,0.691619408,0.11179138,0.784949823,0.094290189,0.732125,0.081558549,138.7082275,1.56352133,4.464514425,0.15139444,3.287995775,0.036772899,4.407884375,0.182273225,3.196328175,0.035761724
10,0.8226875,0.078690429,0.797673316,0.102342046,0.890588335,0.039012172,0.8226875,0.078690429,0.7936875,0.07633722,0.765879107,0.103382555,0.874480536,0.035261206,0.7936875,0.07633722,167.1448054,1.731473371,4.688827775,0.130935343,3.28752765,0.070183656,4.561361225,0.129084405,3.184946825,0.038428156
11,0.86775,0.049592086,0.856172407,0.060451171,0.907472704,0.027994069,0.86775,0.049592086,0.851625,0.055206289,0.838702142,0.066317435,0.895440059,0.032075681,0.851625,0.055206289,166.7178234,3.470780987,4.642492212,0.145266618,3.345049012,0.0786872,4.58382515,0.140083301,3.227450937,0.029882617
12,0.8609375,0.064694203,0.841587009,0.08669086,0.903770773,0.035292825,0.8609375,0.064694203,0.8141875,0.086041029,0.79167337,0.108191735,0.857797942,0.085758789,0.8141875,0.086041029,169.513431,2.40197093,4.851900925,0.170428387,3.341691487,0.057463132,4.470904237,0.089313493,3.192380237,0.045223634
13,0.9094375,0.080014232,0.892948653,0.108260683,0.936223822,0.044977498,0.9094375,0.080014232,0.8730625,0.092872708,0.854386756,0.121788314,0.913965324,0.04719965,0.8730625,0.092872708,139.2494666,12.5946209,3.761737813,0.297325432,3.159018687,0.098364412,3.830138075,0.248920824,3.178038938,0.183972511
14,0.88775,0.067705705,0.870884511,0.082036834,0.924604028,0.041640877,0.88775,0.067705705,0.85225,0.08532548,0.8289639,0.104419836,0.905929936,0.04500285,0.85225,0.08532548,201.4679514,5.496415862,4.87236525,0.306223714,3.339565875,0.037260914,4.544215512,0.291421671,3.262172875,0.056623386
15,0.835875,0.086274544,0.815984243,0.096263485,0.89382034,0.045684587,0.835875,0.086274544,0.8219375,0.082307137,0.800308009,0.090518477,0.879912108,0.053726096,0.8219375,0.082307137,204.5194308,4.983748342,4.87461765,0.092677528,3.33559915,0.053633422,4.664637075,0.158931913,3.228852425,0.04946432
16,0.8863125,0.080441336,0.875252567,0.092481146,0.930635653,0.0358978,0.8863125,0.080441336,0.8479375,0.07765808,0.833769363,0.090210613,0.90335201,0.032030962,0.8479375,0.07765808,208.4385102,3.862307309,4.787526913,0.222035557,3.306792738,0.051901797,4.413025312,0.222064884,3.209438012,0.038327676
17,0.86925,0.117989671,0.842255163,0.15360167,0.917602521,0.064721415,0.86925,0.117989671,0.84525,0.116536475,0.815864576,0.153452088,0.863158765,0.127589402,0.84525,0.116536475,224.9693587,5.937998814,5.140453988,0.155167069,3.424862125,0.037999905,4.42352015,0.145687913,3.3278327,0.033668273
