n_train,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Prec_2Nm_mean,Prec_2Nm_std,Recall_2Nm_mean,Recall_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,Prec_4Nm_mean,Prec_4Nm_std,Recall_4Nm_mean,Recall_4Nm_std,Train_time_mean,Infer_time_2Nm_mean,Viz_time_2Nm_mean,Infer_time_4Nm_mean,Viz_time_4Nm_mean
5,0.46304999999999996,0.16544794498572654,0.4471990298623917,0.16701325528758726,0.4692342482405822,0.18072486423724363,0.46304999999999996,0.1654479449857265,0.43479999999999996,0.1455735552907876,0.4146858764131228,0.1496013284062358,0.43704644856961206,0.1718270120164324,0.43479999999999996,0.1455735552907876,23.665124900000002,0.59536357,5.089238359999996,0.5013922699999981,5.136556110000003
6,0.56785,0.14020236267624023,0.5615104263095357,0.13900667856678622,0.5856622075344712,0.140875410470299,0.56785,0.14020236267624026,0.54025,0.1557132380371046,0.5349161475794683,0.15079691885865154,0.5666188278664965,0.15437388942256156,0.54025,0.15571323803710463,21.609229619999997,0.5088531500000102,4.996687230000009,0.48063887000000705,5.049782889999989
7,0.62385,0.1587798869504573,0.6049958105758517,0.16028038275291406,0.6210812931200107,0.17126004517874982,0.62385,0.15877988695045733,0.5904,0.15284269691418037,0.5665365893948315,0.1466782662892855,0.5985126260503983,0.15738980162235225,0.5904,0.15284269691418034,23.003778239999995,0.48268942999999354,5.062453349999998,0.5051373300000023,4.993629009999995
8,0.71145,0.13783186315217538,0.6960079475460608,0.1421962188738894,0.7281346137191208,0.13899046649723093,0.71145,0.13783186315217535,0.6881999999999999,0.14245160581755476,0.6721331724376239,0.14715140833493917,0.7120644194936386,0.1505287715647026,0.6881999999999999,0.14245160581755478,22.551368430000025,0.5146408600000086,5.093257759999983,0.501883160000034,5.068775559999994
9,0.6753,0.11815904535836433,0.668650857152105,0.121730283165358,0.6864905016720545,0.1170409687496607,0.6753,0.11815904535836431,0.64005,0.1064317739211369,0.6307001873066375,0.10768719252665722,0.6585178212342427,0.11316391671342368,0.64005,0.10643177392113692,28.262445149999984,0.5846120400000018,5.715193620000036,0.5646892999999864,5.641364800000019
10,0.7955,0.06978574352974967,0.7864847185218561,0.07583571500203655,0.8058018589562177,0.07180744811458134,0.7955,0.06978574352974969,0.7630500000000001,0.07611716297918623,0.7517900270483734,0.08206689524123106,0.7770775067949101,0.07903923503666743,0.7630500000000001,0.07611716297918626,28.153472710000006,0.5480309100000795,5.386854249999987,0.5298962899999651,5.346462040000051
11,0.74695,0.10942587673854846,0.7406880855164248,0.1102607046541311,0.7534218966096646,0.10464110448741365,0.74695,0.10942587673854848,0.70035,0.10843962605984954,0.6916986890100809,0.11092186526338733,0.7106738345016405,0.10919310471590445,0.70035,0.10843962605984955,27.713035290000107,0.5559020999999575,5.2122238400001155,0.4939389800000299,5.211508000000004
12,0.78225,0.11407086613154124,0.7738186352286498,0.12204256852437496,0.7922740266831383,0.10941152767396443,0.78225,0.11407086613154123,0.7435,0.11664561714869534,0.734156413044388,0.12255443324204186,0.7578487404233323,0.11102056764313034,0.7435,0.11664561714869531,28.04518952000003,0.5369180000000142,5.34573091999996,0.5225960100000066,5.4025504500000805
13,0.7664,0.09635035028478102,0.7660451151398759,0.09908467297998202,0.7862727289605396,0.09206183143009174,0.7664,0.096350350284781,0.72455,0.09056805452255226,0.7245015217135128,0.092097291488808,0.7568032766406939,0.0850301179518619,0.72455,0.09056805452255229,28.612747370000125,0.5089827999999216,5.681370449999941,0.5317508599999655,5.456154369999967
14,0.77335,0.2259486722687257,0.766382323793154,0.23562476320588333,0.7796729983633911,0.2248245667030873,0.77335,0.2259486722687257,0.7553499999999999,0.226161120664008,0.7485324035877051,0.2352231202086242,0.7621889584203083,0.22813065825866696,0.7553499999999999,0.226161120664008,41.57900451999999,0.5549402200000259,8.990211369999951,0.6563730699999268,9.180595909999965
15,0.7968,0.19680436987018354,0.7923607131001356,0.2029344521366312,0.8050910432162949,0.19741742487281827,0.7968000000000001,0.19680436987018352,0.7608,0.1990865640870825,0.7549703719975297,0.20483077437168126,0.7739151028286244,0.20020233029676854,0.7608,0.19908656408708247,72.67702606000007,0.6743427800000973,10.849193060000198,0.6456675000000359,10.773592189999999
16,0.7713,0.19615825243919766,0.7678864255048353,0.197744598692477,0.7956016617625216,0.17339097807974294,0.7713,0.19615825243919766,0.74665,0.17572536100403946,0.7434173897108732,0.17489978285553637,0.7759074307343814,0.15327593115816918,0.74665,0.17572536100403946,78.0048181099999,0.7189656800000194,11.245989089999966,0.6638518299998395,12.75499021000005
17,0.7909499999999999,0.2784275893297933,0.7892289704121086,0.280507712197662,0.8029169422179855,0.2614647747728619,0.79095,0.2784275893297933,0.76795,0.2704433813203791,0.7656496566754444,0.2728274540166294,0.7803018328228027,0.25733756642561806,0.76795,0.27044338132037915,28.138194569999815,0.4842588299999079,5.621202720000019,0.5007705799998803,5.764694289999989
18,0.8937999999999999,0.1006377662709184,0.8924876027258101,0.10195972343371837,0.8985997683581033,0.09228988037135023,0.8937999999999999,0.10063776627091837,0.8766999999999999,0.1022800567070629,0.8749674871884942,0.10289455152220621,0.8835958885063551,0.09323838561556419,0.8766999999999999,0.10228005670706289,27.996498319999954,0.5108789300000354,5.2761772900000325,0.46718111000018325,5.334770470000057
19,0.8777000000000001,0.06184666522942043,0.8752261637760792,0.06285671880899113,0.8846024618653419,0.06291268881064475,0.8777000000000001,0.061846665229420436,0.8439500000000001,0.08403256809118713,0.839767346357436,0.08579291768915283,0.8545677093019088,0.08568996946430685,0.8439500000000001,0.08403256809118714,28.136207300000024,0.5106570500000999,5.316536009999981,0.4624388800001725,5.392601269999977
20,0.9415500000000001,0.06417104097644047,0.9413409299551219,0.06454054172557074,0.9443310643692839,0.06186903193650824,0.9415500000000001,0.06417104097644047,0.91395,0.0924506489971812,0.9120356980457771,0.09560670323320539,0.9173611935703972,0.0894580285523065,0.91395,0.09245064899718121,29.240414769999916,0.487279899999794,5.377644200000122,0.4910828100000799,5.13816444999984
21,0.8906499999999999,0.11397764035107939,0.8886737424191198,0.1150587792922682,0.8950882278942552,0.11230448293290866,0.8906500000000002,0.1139776403510794,0.8685500000000002,0.11156577656252836,0.8664626746551308,0.11269651041619039,0.8795255325253475,0.10352281919126441,0.8685499999999999,0.11156577656252835,29.557328380000126,0.5104263300000639,5.188937760000044,0.4917557100001432,5.187701160000051
22,0.9116500000000001,0.06530736941570991,0.909681011810987,0.06783982191002795,0.9137340761615294,0.06865296995630647,0.9116500000000001,0.0653073694157099,0.8939,0.0753388346073922,0.8905672321603328,0.07897328968654115,0.8959552915324922,0.07798002080958837,0.8939,0.07533883460739227,84.68641528000016,0.8398142500000176,13.258472349999465,0.7587575700001252,13.61915424999952
23,0.79295,0.23292213827800912,0.7885346384626699,0.2359907391883589,0.8046832528963043,0.22951683828351788,0.79295,0.23292213827800912,0.7693,0.23833371561740901,0.7631968030821261,0.24112300023412378,0.7744499767782563,0.23750930758012478,0.7693,0.23833371561740901,111.89509404,0.8958795000000463,16.23995582999978,0.7432831099999021,16.491401290000248
24,0.9519500000000001,0.04056873796410237,0.951439839132588,0.04142455485863576,0.9554286452546439,0.038211130487377225,0.9519500000000001,0.040568737964102375,0.9331499999999998,0.049552018122373184,0.932779823466458,0.05055647759148367,0.9397666156067753,0.045601490350635016,0.9331499999999998,0.049552018122373184,47.6097996999999,0.616446690000339,6.721930430000066,0.4704416099997616,6.477375939999911
25,0.8734,0.21044450574914042,0.869532349292556,0.21932229215472782,0.8868426552564473,0.18118700674842367,0.8734,0.21044450574914042,0.8667,0.20464019644243894,0.8627347300708739,0.2141144521448809,0.8816305979971316,0.17052258844544516,0.8667,0.20464019644243894,45.658434109999874,0.5341166099995462,7.019641820000106,0.510349209999913,5.582788279999477
26,0.74375,0.29084697436968465,0.7391541720312627,0.29732013763910126,0.7514593146174328,0.2846829894830995,0.74375,0.29084697436968465,0.7321500000000001,0.2737843174836718,0.7266778457127347,0.2811178251060745,0.7413925236727021,0.2709820648691626,0.7321500000000001,0.2737843174836718,40.25413040000003,0.5530329299996083,7.2256209899996975,0.5387945099997523,7.21410246000014
27,0.8878499999999999,0.11724889125275342,0.8865494001035806,0.11895947837358795,0.8894796832278141,0.11739453648232048,0.8878499999999999,0.11724889125275345,0.8620000000000001,0.11366573802162201,0.8601854004175454,0.11483588324901367,0.8676432109688219,0.11416879323254556,0.8620000000000001,0.11366573802162194,35.50984919999992,0.521373869999843,5.300865459999841,0.49972632999979394,5.326543630000197
28,0.7511,0.30190162304962853,0.7489831535304299,0.3042528207144853,0.7656976509324082,0.2825348595118927,0.7511,0.30190162304962853,0.7408,0.29279798496574394,0.7372740300323186,0.2960157742202519,0.7546461078328998,0.28117123458213666,0.7408000000000001,0.29279798496574394,35.19285725000009,0.5065436300001238,5.698280779999732,0.503004399999736,5.773049050000009
29,0.87745,0.19402956604600236,0.8748330088627927,0.19968196262644416,0.881849554528659,0.19209573585557044,0.87745,0.19402956604600236,0.85215,0.1969498730641886,0.8487923803125236,0.20282460540291017,0.8576498450918228,0.1956744883008235,0.85215,0.1969498730641886,38.343213900000045,0.5049991899997621,5.557663879999927,0.48741024999962973,5.477070519999688
30,0.75005,0.27469569071974903,0.7373280863784951,0.29066424177377065,0.7684655982165456,0.2536746378432152,0.75005,0.27469569071974903,0.7309499999999999,0.2675093876857409,0.7190895090740727,0.2839823706086993,0.7531867328414678,0.24766585501908964,0.73095,0.2675093876857409,48.05443690000011,0.5669521000001623,7.308609899999828,0.5328168499998356,6.544566710000072
