n_train,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Prec_2Nm_mean,Prec_2Nm_std,Recall_2Nm_mean,Recall_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,Prec_4Nm_mean,Prec_4Nm_std,Recall_4Nm_mean,Recall_4Nm_std
5,0.4644375,0.159683366,0.440503935,0.147492477,0.472480573,0.123915296,0.4644375,0.159683366,0.4404375,0.150283365,0.416612434,0.137150963,0.457005355,0.112483139,0.4404375,0.150283365
6,0.5713125,0.115446399,0.566450271,0.107514344,0.595749248,0.108384553,0.5713125,0.115446399,0.5415625,0.122667854,0.534758307,0.112369602,0.572708156,0.116085931,0.5415625,0.122667854
7,0.6268125,0.116249446,0.609674981,0.102944426,0.631293226,0.113078398,0.6268125,0.116249446,0.58525,0.115132261,0.561777195,0.088981368,0.60093971,0.101998557,0.58525,0.115132261
8,0.7294375,0.104116352,0.711848155,0.112351773,0.741192338,0.113428976,0.7294375,0.104116352,0.7070625,0.096314406,0.688823203,0.104571728,0.731294845,0.113354912,0.7070625,0.096314406
9,0.670125,0.088659373,0.662590403,0.093725625,0.678950514,0.092894604,0.670125,0.088659373,0.6379375,0.075625904,0.627654477,0.079678589,0.654187101,0.088307656,0.6379375,0.075625904
10,0.78675,0.055711309,0.779325867,0.059386991,0.80069708,0.052470828,0.78675,0.055711309,0.754875,0.051324793,0.74093871,0.059919587,0.769730553,0.054672744,0.754875,0.051324793
11,0.766125,0.074420154,0.758434244,0.079757247,0.770027896,0.076966575,0.766125,0.074420154,0.7154375,0.077124671,0.704905153,0.083545741,0.723795191,0.085918843,0.7154375,0.077124671
12,0.78325,0.092639422,0.774011118,0.10270018,0.794946732,0.085272983,0.78325,0.092639422,0.7455625,0.090409982,0.734794875,0.098274353,0.760940754,0.083565946,0.7455625,0.090409982
13,0.7755,0.068038133,0.776366142,0.070357461,0.79646113,0.065619352,0.7755,0.068038133,0.7285625,0.055449548,0.729825607,0.055904457,0.764799718,0.048458455,0.7285625,0.055449548
14,0.8194375,0.13038655,0.814506553,0.136645717,0.826426727,0.128777726,0.8194375,0.13038655,0.7981875,0.133419437,0.793324825,0.138918996,0.806649232,0.134576401,0.7981875,0.133419437
15,0.844625,0.063533825,0.841751728,0.066388814,0.854668329,0.059870977,0.844625,0.063533825,0.803375,0.08630243,0.798397141,0.091170298,0.819866715,0.07988201,0.803375,0.08630243
16,0.81275,0.105026187,0.808999579,0.108667814,0.832013633,0.09448497,0.81275,0.105026187,0.7783125,0.093703968,0.773371725,0.097754081,0.802938657,0.087804847,0.7783125,0.093703968
17,0.839375,0.217258451,0.838276566,0.218031472,0.854056613,0.185887423,0.839375,0.217258451,0.81575,0.205235079,0.814692281,0.2042914,0.831298358,0.178035281,0.81575,0.205235079
18,0.9163125,0.043215982,0.915129566,0.044843549,0.918533695,0.041127813,0.9163125,0.043215982,0.898375,0.041261173,0.89635426,0.043263895,0.902646125,0.039622641,0.898375,0.041261173
19,0.87875,0.04117645,0.875990286,0.042299541,0.887861946,0.041156097,0.87875,0.04117645,0.847,0.063803899,0.842043654,0.066430853,0.860332991,0.064929671,0.847,0.063803899
20,0.951875,0.049401259,0.951810769,0.04947568,0.955347051,0.044768736,0.951875,0.049401259,0.9300625,0.0648216,0.928675947,0.06755648,0.933250404,0.062113345,0.9300625,0.0648216
21,0.91225,0.067953569,0.909922738,0.070336643,0.917165125,0.065439572,0.91225,0.067953569,0.881375,0.089853266,0.87843173,0.092771531,0.892487461,0.081264986,0.881375,0.089853266
22,0.9184375,0.049999648,0.917545682,0.050116614,0.923290243,0.048360226,0.9184375,0.049999648,0.897875,0.064448987,0.895334132,0.066771468,0.902203441,0.064201498,0.897875,0.064448987
23,0.8401875,0.141374489,0.835080317,0.147699569,0.854911397,0.128283863,0.8401875,0.141374489,0.8131875,0.15135429,0.805872455,0.15773328,0.819629125,0.147499667,0.8131875,0.15135429
24,0.954625,0.03527725,0.954431543,0.03567827,0.958565153,0.032303507,0.954625,0.03527725,0.936,0.0412977,0.936152298,0.041519825,0.943371662,0.036577229,0.936,0.0412977
25,0.9335625,0.062522715,0.932532495,0.063985978,0.937876936,0.056206816,0.9335625,0.062522715,0.92375,0.061346862,0.922864184,0.062652835,0.92767837,0.056223807,0.92375,0.061346862
26,0.7799375,0.245529458,0.776275677,0.251080812,0.787391383,0.240088864,0.7799375,0.245529458,0.7671875,0.220347302,0.763375715,0.225005682,0.777588769,0.217066437,0.7671875,0.220347302
27,0.9068125,0.086913728,0.90590625,0.087892121,0.908775108,0.086884692,0.9068125,0.086913728,0.87575,0.089089842,0.874005915,0.089812083,0.882282236,0.089604906,0.87575,0.089089842
28,0.785625,0.266838522,0.784505089,0.267312331,0.799845747,0.24536247,0.785625,0.266838522,0.77525,0.251791705,0.773458383,0.251182498,0.791777168,0.233883187,0.77525,0.251791705
29,0.9318125,0.06994772,0.930841112,0.072280421,0.937255766,0.058310607,0.9318125,0.06994772,0.9035625,0.078197042,0.901624489,0.082156338,0.910117552,0.071728267,0.9035625,0.078197042
30,0.783125,0.230194449,0.771905362,0.245216563,0.802985078,0.202401253,0.783125,0.230194449,0.7585,0.226068712,0.748927467,0.240399507,0.783766342,0.198230463,0.7585,0.226068712
