N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
5,1,0.721,0.716961179802003,0.7314352380843054,0.721,0.681,0.6729355500168706,0.6877384760655986,0.681,9.715740699999998,0.6385759999999969,7.817968699999994,0.9746674000000013,6.010278900000003
5,2,0.406,0.40325067232010514,0.4031567643580301,0.406,0.4085,0.4041594539302106,0.409676776944114,0.4085,4.083044099999995,0.7054959000000025,6.445755399999996,0.7926116999999948,6.142789400000005
5,3,0.453,0.4375649169636865,0.43195848034973305,0.453,0.466,0.44626464024224954,0.4401821735155068,0.466,3.4439622999999955,0.8412851000000074,5.210951800000004,0.7175881999999945,5.019195299999993
5,4,0.451,0.45378801618200165,0.4586646261158826,0.45099999999999996,0.403,0.40363218332724016,0.41046289970092786,0.403,4.289591200000004,0.5171471000000025,5.397512200000008,0.5698337999999978,4.973109300000004
5,5,0.449,0.4250795788628691,0.42363861092914074,0.449,0.4235,0.3980680903710212,0.4068551779152648,0.42350000000000004,3.6661702999999903,0.9045424000000111,5.457130299999989,0.9374576000000019,5.297743400000002
5,6,0.5625,0.54778133434158,0.5490844564631865,0.5625,0.5635,0.5404235816910437,0.5379052819386161,0.5635,5.325268699999995,1.1540257000000054,4.9054009999999835,1.2078281999999945,5.046918199999993
5,7,0.328,0.31621693525809313,0.32083617377456963,0.328,0.294,0.2896996398812235,0.2968893708299765,0.294,3.329956199999998,0.4826200999999912,6.228514200000006,0.3991919999999993,5.7654549999999745
5,8,0.7065,0.7085293395448927,0.7161249787742234,0.7064999999999999,0.684,0.6783791040405445,0.6825907981100764,0.6839999999999999,5.335959400000007,0.715324900000013,5.559384399999999,0.9337565999999811,5.571112499999998
5,9,0.533,0.5349972709634826,0.5641690791754523,0.533,0.55,0.5414134427059959,0.561653674740449,0.55,6.902290100000016,0.484267200000005,4.725077499999998,0.6292684999999949,5.034603799999985
5,10,0.4745,0.4745874999897273,0.4759377735372679,0.47450000000000003,0.4775,0.4753792630499499,0.47452371808179733,0.47750000000000004,2.9352968000000033,0.8678826000000015,5.485331000000002,0.9394487999999797,5.165312199999988
6,1,0.52,0.5082459856513096,0.5067393743084772,0.5199999999999999,0.481,0.469391089924022,0.46640574908306415,0.48100000000000004,4.000282199999987,0.4046651999999824,4.969966100000022,0.5728665999999976,5.0536996999999815
6,2,0.34,0.33524921980252353,0.338688373712132,0.34,0.337,0.3319111232153015,0.3370029415160093,0.33699999999999997,4.1853558999999905,0.7442306000000372,5.637099999999975,0.6699386000000231,5.756979399999977
6,3,0.561,0.5709405344869353,0.5922267342607532,0.561,0.5645,0.576045639103392,0.5957760336895285,0.5645,5.178045800000007,0.9609018000000447,5.073118700000009,0.978539000000012,4.945569299999988
6,4,0.485,0.4801511194616679,0.48723059851518535,0.485,0.425,0.42317771267023785,0.4309310162100025,0.425,3.0133442999999716,0.6709192000000144,5.169309399999975,0.7127453000000514,5.625290800000016
6,5,0.61,0.6096115009832124,0.6219491254867586,0.61,0.5595,0.5553662709104074,0.5627450408016063,0.5595000000000001,4.930367700000033,0.8874514000000318,4.787638099999981,1.0133485000000064,4.536807500000009
6,6,0.5675,0.5446850899924607,0.5661917187769305,0.5675,0.5835,0.5605729147429137,0.5727004730839822,0.5835,4.745011099999999,0.9498214000000189,5.617128200000025,1.0162652999999864,5.319204100000036
6,7,0.3165,0.3010974609875742,0.29572805379346895,0.3165,0.333,0.31798034139610765,0.31811493952472275,0.333,3.1654274999999643,1.1794500999999968,5.952372700000012,1.1104068999999868,5.829880199999991
6,8,0.6355,0.6312230753224048,0.6382712098231687,0.6355000000000001,0.645,0.6446470374438935,0.6540659754389461,0.645,5.067712299999982,0.6728577000000087,4.796133699999984,0.70329270000002,5.104758199999992
6,9,0.636,0.6224248620410873,0.6388099020394068,0.636,0.625,0.6008216792910679,0.6146027346255071,0.625,4.777441300000021,0.6849117000000433,5.159883899999954,0.7367526999999541,4.889896100000044
6,10,0.5035,0.5059974594787273,0.518076541589114,0.5035000000000001,0.462,0.47132331248422304,0.4960788842563254,0.4619999999999999,4.587397500000009,0.7095115999999848,5.3060878,0.7302068999999847,5.415863600000023
7,1,0.354,0.3429494455168119,0.3580896367392028,0.354,0.302,0.29696170826852164,0.31274102459826403,0.30199999999999994,3.308797900000002,0.6849498999999923,5.140451999999982,0.6742699999999786,5.296709200000009
7,2,0.618,0.6225170227262706,0.6348229398916894,0.618,0.634,0.6357714822384333,0.6404313084245629,0.634,3.7196656000000416,0.6806356000000164,5.96008489999997,0.8438325000000191,5.156020599999977
7,3,0.3995,0.3979434880210887,0.40690778665148253,0.3995,0.357,0.3540205571791214,0.3679501325659765,0.35700000000000004,3.5409545999999636,1.2901992999999834,5.5741639000000305,1.3639764999999784,5.85780189999997
7,4,0.2955,0.2998615691765473,0.33796538212899063,0.2955,0.2785,0.28072587680480715,0.312438375551675,0.2785,3.7136308999999983,0.4785848999999871,5.136742700000013,0.5133305999999607,5.085443000000055
7,5,0.339,0.3270860466561608,0.32339966888624794,0.3390000000000001,0.3395,0.3288243926390627,0.328454911462599,0.33949999999999997,2.9723410000000285,0.6920258000000103,5.996455900000001,0.7111291999999594,5.588773500000002
7,6,0.4515,0.4538903736858182,0.4910153195919946,0.45149999999999996,0.427,0.4257510643788501,0.47439589027708545,0.42699999999999994,3.354995800000097,0.4838900999999396,5.298755400000005,0.574723199999994,5.792553199999929
7,7,0.3725,0.3750790098935506,0.3788061619438877,0.3725,0.3495,0.34609749629336484,0.3456729596708275,0.34950000000000003,3.46908540000004,0.592025299999932,5.295965000000024,0.5836139000000458,5.118267800000012
7,8,0.586,0.5857473278829474,0.5859285624194264,0.586,0.5675,0.5643756453635919,0.5628488344904061,0.5675,3.2860401000000365,0.5071655000000419,5.9274279999999635,0.5428857000000562,5.940432600000008
7,9,0.429,0.42367018272828083,0.44821967142406133,0.429,0.4635,0.45592528152241324,0.46551807642313114,0.46349999999999997,3.3795795999999427,1.2418813000000455,5.14594610000006,1.1875913000000082,5.690558500000066
7,10,0.2845,0.2870491301758881,0.2921132076047901,0.2845,0.253,0.2494954851941409,0.24970995473205745,0.253,3.5989921000000322,0.503614500000026,5.335520000000088,0.5566969000000199,5.009556800000041
8,1,0.2885,0.2887633694119661,0.2954895423936133,0.2885,0.295,0.29452656761272883,0.3026711615264909,0.295,3.2499870999999985,0.4980437000000393,5.621768399999951,0.6033347000000049,5.835937199999989
8,2,0.503,0.4976017673927875,0.4953862181007035,0.503,0.503,0.49054891466252776,0.48506332349539943,0.5029999999999999,3.3779414000000543,1.0841059000000541,5.206038899999953,1.1717575000000124,5.3719657000000325
8,3,0.417,0.400974956596836,0.41117609450279524,0.417,0.4455,0.4234162452493992,0.43671878576147377,0.4455,3.071318700000006,0.7343598999999585,5.724146499999961,0.8190292000000454,5.890643899999986
8,4,0.2375,0.2336569692704999,0.23541034952534376,0.2375,0.249,0.2450575202096677,0.2457725334813639,0.24900000000000003,3.759853899999939,0.544616499999961,5.615759400000002,0.5769392999999354,5.867987900000003
8,5,0.3265,0.32578208038155776,0.34701546359186847,0.32649999999999996,0.2855,0.2805838104560325,0.29310814718653155,0.2855,3.440007000000037,1.1180339000000004,5.725500200000056,1.028904099999977,5.717457399999944
8,6,0.4185,0.4189504872423157,0.4274166105946403,0.4185,0.4095,0.4029615360875282,0.4049348009199839,0.4095,3.5407440999999835,0.49734780000005685,5.7704363000000285,0.5720569000000069,5.80998210000007
8,7,0.4235,0.41158750161792035,0.41067303289376567,0.42350000000000004,0.403,0.3947341212155334,0.4020339445746813,0.403,3.31336859999999,0.7329687000000149,5.745049599999902,0.7384045999999671,5.85966970000004
8,8,0.3005,0.30008878254073157,0.30951732367057294,0.3005,0.2965,0.2983382425244131,0.31122736329110295,0.2965,3.3204899999999498,0.7394223000000011,5.270002199999908,0.7273209999999608,5.890352000000007
8,9,0.568,0.5649843376706845,0.5671722717913384,0.568,0.5685,0.5696175708824189,0.5751402508540167,0.5685,4.78559180000002,0.508285600000022,5.225277799999958,0.5861644999999953,5.14530220000006
