N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.473625,0.102370879,0.46844844,0.105095545,0.472096733,0.108981871,0.473625,0.102370879,0.469125,0.101185705,0.459527283,0.10105683,0.463810777,0.103666132,0.469125,0.101185705,3.1807386,0.788394756,0.574665575,0.091567355,4.024237313,0.183127679,0.691582287,0.119590777,4.195012325,0.284547909
6,0.5278125,0.085722276,0.522163221,0.084958035,0.53367171,0.089696737,0.5278125,0.085722276,0.5046875,0.089527209,0.498576218,0.085572358,0.509530359,0.088941713,0.5046875,0.089527209,4.432374437,0.585808508,0.785075675,0.11809552,5.216090975,0.27588704,0.820136125,0.143035694,5.26390765,0.298036431
7,0.403375,0.083300566,0.40077843,0.08454723,0.416291524,0.082933953,0.403375,0.083300566,0.3855625,0.089145751,0.381585253,0.088759539,0.396252526,0.08704399,0.3855625,0.089145751,3.45650955,0.141776059,0.6732735,0.2298642,5.459789413,0.30633932,0.709342838,0.204016338,5.448265963,0.298667357
8,0.364375,0.083501778,0.359675739,0.081044912,0.366988708,0.078368705,0.364375,0.083501778,0.360875,0.085279595,0.35377087,0.080167031,0.360191258,0.07786214,0.360875,0.085279595,3.38421385,0.191624424,0.710023813,0.184184413,5.539123625,0.199564777,0.759286662,0.165999174,5.709352638,0.21535446
9,0.623,0.114224012,0.616381184,0.113271105,0.620176029,0.113526332,0.623,0.114224012,0.5905,0.118215904,0.583435983,0.11628261,0.585271059,0.115168744,0.5905,0.118215904,4.53118115,0.79822764,0.680686687,0.124002796,4.9164326,0.239805503,0.727917512,0.141412539,4.9752881,0.154024673
10,0.6546875,0.125879639,0.656288765,0.12319372,0.665158408,0.117033554,0.6546875,0.125879639,0.61175,0.117401288,0.611560781,0.115306294,0.622230026,0.108870371,0.61175,0.117401288,4.50088085,0.578708448,0.790534712,0.225399778,4.854146525,0.22743425,0.82957375,0.178183258,4.83207035,0.208283687
11,0.6993125,0.083084271,0.698446622,0.083268278,0.701541002,0.082356831,0.6993125,0.083084271,0.6545,0.075096188,0.649143251,0.07533833,0.654309499,0.07240183,0.6545,0.075096188,4.625250537,0.352387526,0.629249438,0.152039591,4.69518415,0.087071309,0.715058988,0.152149122,4.814969975,0.159620152
12,0.728875,0.081465004,0.726101768,0.08177432,0.72879626,0.083936099,0.728875,0.081465004,0.684625,0.074241898,0.680137934,0.071197273,0.685093142,0.071125704,0.684625,0.074241898,4.668812012,0.499190533,0.6340779,0.124565762,4.812067638,0.205442103,0.7388595,0.15611409,4.8408996,0.148797381
13,0.4815,0.065256705,0.471005154,0.068867098,0.471510087,0.073377094,0.4815,0.065256705,0.459625,0.062271959,0.450071706,0.068380815,0.450943509,0.073065065,0.459625,0.062271959,3.303312237,0.295287954,0.676146225,0.160690479,5.364303425,0.138210064,0.7278859,0.202459177,5.317347875,0.172105554
14,0.7414375,0.08868217,0.737399638,0.089848341,0.741263182,0.088624937,0.7414375,0.08868217,0.7085625,0.066524167,0.695566654,0.06486449,0.700019278,0.067614433,0.7085625,0.066524167,4.75375925,0.438710366,0.663379775,0.166094731,4.722167775,0.259407519,0.70339585,0.168931717,4.75782925,0.178705221
15,0.7668125,0.083231957,0.76379494,0.083470517,0.766687672,0.08538108,0.7668125,0.083231957,0.7105625,0.073729844,0.703530088,0.07162551,0.70974478,0.07292434,0.7105625,0.073729844,4.700081012,0.581118763,0.5509567,0.129110335,4.737614025,0.279557113,0.595893362,0.096028292,4.75771245,0.198222111
16,0.8239375,0.043405384,0.82068567,0.044604187,0.822999022,0.04373263,0.8239375,0.043405384,0.755875,0.033124528,0.743164139,0.035874349,0.749680451,0.03599616,0.755875,0.033124528,4.97369895,0.290026798,0.662850387,0.129630919,4.720634825,0.1428869,0.716342712,0.11297248,4.752117725,0.16448482
17,0.7884375,0.104845254,0.785219257,0.107976284,0.786747869,0.110563548,0.7884375,0.104845254,0.737875,0.079563556,0.724762822,0.084901321,0.729932526,0.090121732,0.737875,0.079563556,4.802197312,0.510014834,0.652437788,0.144095906,4.680858237,0.182466102,0.701028588,0.142358185,4.779266675,0.178917453
