Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.753162,0.028171,0.744975,0.031824,0.759350,0.028645,0.753162,0.028171
6,0.808013,0.029809,0.803663,0.030177,0.814162,0.028769,0.808013,0.029809
7,0.789900,0.016159,0.786025,0.016566,0.797737,0.018832,0.789900,0.016159
8,0.812712,0.026028,0.808987,0.026886,0.817700,0.023402,0.812712,0.026028
9,0.837762,0.009128,0.835850,0.009352,0.841938,0.010893,0.837762,0.009128
10,0.835525,0.017645,0.833775,0.017932,0.841850,0.015812,0.835525,0.017645
11,0.861575,0.017777,0.860413,0.017693,0.866525,0.016552,0.861575,0.017777
12,0.856588,0.013210,0.855563,0.013759,0.861088,0.013785,0.856588,0.013210
13,0.864437,0.011007,0.862950,0.010933,0.868262,0.010081,0.864437,0.011007
14,0.877625,0.016084,0.876862,0.015860,0.882513,0.014304,0.877625,0.016084
15,0.881862,0.008460,0.880975,0.008842,0.885212,0.009024,0.881862,0.008460
16,0.887787,0.017660,0.887387,0.017809,0.890062,0.016487,0.887787,0.017660
17,0.890850,0.016628,0.890413,0.016707,0.892312,0.015630,0.890850,0.016628
18,0.898125,0.014343,0.897625,0.014599,0.901000,0.013490,0.898125,0.014343
19,0.900462,0.008034,0.899638,0.008320,0.902000,0.006635,0.900462,0.008034
20,0.899200,0.010857,0.899125,0.010772,0.901850,0.009577,0.899200,0.010857
21,0.902713,0.010298,0.902300,0.010207,0.905225,0.008941,0.902713,0.010298
22,0.903112,0.013142,0.902737,0.013169,0.904813,0.012995,0.903112,0.013142
23,0.907875,0.008150,0.907500,0.008333,0.909575,0.007377,0.907875,0.008150
24,0.919737,0.008321,0.919288,0.008656,0.920987,0.008134,0.919737,0.008321
25,0.929525,0.005628,0.929525,0.005562,0.930362,0.005763,0.929525,0.005628
26,0.923650,0.014284,0.923550,0.014358,0.924750,0.014281,0.923650,0.014284
27,0.920787,0.012849,0.920638,0.012843,0.922575,0.013080,0.920787,0.012849
28,0.930800,0.008810,0.930675,0.008843,0.931900,0.008502,0.930800,0.008810
29,0.929113,0.006192,0.928837,0.006161,0.930150,0.005727,0.929113,0.006192
30,0.934412,0.009916,0.934338,0.009897,0.935237,0.009558,0.934412,0.009916
