Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.89249547920434,0.056063626257181774,0.8889152468422412,0.05954089167050601,0.90895780906989,0.0433036615159756,0.89249547920434,0.056063626257181726
6,0.9286620739666425,0.029631340540064804,0.9270021875970574,0.03072513004618308,0.9380250403495637,0.023286968370017685,0.9286620739666425,0.029631340540064787
7,0.938976735732461,0.02260051796509927,0.9384035067977341,0.022864455985033928,0.9440545690689314,0.019384890128210697,0.938976735732461,0.02260051796509932
8,0.9592747813411079,0.013608661754196004,0.9586216515096698,0.01457678992973446,0.9637214127215514,0.00922080370580132,0.9592747813411078,0.013608661754195997
9,0.9550602849835585,0.04008147905113216,0.9550685203074925,0.04016709385506567,0.9617400841800428,0.03283165291874257,0.9550602849835587,0.04008147905113213
10,0.9614010989010988,0.01559460894069666,0.9612453591978195,0.015670454262998634,0.9642220766280742,0.013906635423128224,0.961401098901099,0.015594608940696688
11,0.9839790672052883,0.009306773234781273,0.9839675710093605,0.009319695497996308,0.9845752796853442,0.008828363280766778,0.9839790672052883,0.009306773234781275
12,0.9761597938144331,0.02250980477650698,0.9760560614929658,0.022758605494390592,0.9781995592060573,0.018553046814035093,0.9761597938144331,0.02250980477650695
13,0.9769748984865263,0.02117085536373773,0.9766089300275802,0.021949517351386623,0.9798134185876809,0.015681610228490742,0.9769748984865264,0.02117085536373773
14,0.983160621761658,0.004652037413018718,0.9831284341484137,0.0046944603199378,0.9836548676167588,0.004393009729082084,0.983160621761658,0.00465203741301871
15,0.9839981447124304,0.0039200496578330685,0.9839966076507783,0.003926615853998264,0.984853106157023,0.0033418324344123207,0.9839981447124304,0.003920049657833102
16,0.9877697172619048,0.010345736498545706,0.9877710601574325,0.010320162397620623,0.9883367928049958,0.009316782327876211,0.9877697172619048,0.010345736498545696
17,0.9929597165236852,0.004262754893638929,0.9929409422079623,0.0043087210661789275,0.9930496410677898,0.004186876655991995,0.9929597165236852,0.004262754893638938
18,0.987612191473448,0.009138302750042137,0.987575875865292,0.00924233090486889,0.9885226287892461,0.007582792363111031,0.9876121914734481,0.009138302750042111
19,0.9916572928383952,0.006617019836412854,0.9916442613641211,0.006635390250212621,0.9920398964210438,0.006021429447267655,0.9916572928383952,0.006617019836412896
20,0.987687969924812,0.010636091793530075,0.9877267484019305,0.01055632049100879,0.9883302785300132,0.009540319159011398,0.987687969924812,0.010636091793530068
21,0.990859404447795,0.00438664222099787,0.9908539795602493,0.004397803963867605,0.9910812038252899,0.0040722651339713655,0.990859404447795,0.00438664222099786
22,0.9935752078609221,0.005140389459083696,0.9935787020957201,0.00513271146358128,0.9937070412889075,0.004992988930747811,0.9935752078609221,0.005140389459083744
23,0.9936528988253126,0.0012242182629140133,0.9936561091057885,0.0012247857262591528,0.9937344047842618,0.0012104060619742736,0.9936528988253126,0.001224218262913996
24,0.9934935410334347,0.0027162166067304003,0.9934911083504105,0.0027194648091018888,0.9935877489857537,0.00266570960269837,0.9934935410334347,0.002716216606730401
25,0.9879047619047618,0.01215881304625898,0.9878719353773658,0.012209408670200303,0.9887980182015701,0.01081916097231112,0.9879047619047618,0.012158813046258954
26,0.9958938120702827,0.0017478041651760024,0.9958929277829927,0.001749027680126221,0.9959328118868576,0.001728646404790843,0.9958938120702827,0.0017478041651760084
27,0.99210072769054,0.004515190906291542,0.9920764742469999,0.0045736855639937546,0.9923759969406579,0.004105848724346072,0.99210072769054,0.004515190906291504
28,0.9964477726574501,0.0020297978602021984,0.996446436004779,0.0020304783872117298,0.9964860788038348,0.0020041679011628915,0.9964477726574501,0.002029797860202188
29,0.9935983827493262,0.002509820528395027,0.9935938794546846,0.002520007423999781,0.993694839765781,0.002400598904718791,0.9935983827493261,0.0025098205283950264
30,0.9924227799227799,0.005466892088735787,0.992419195889956,0.0054759446937241866,0.9926676459524746,0.005180835815122071,0.99242277992278,0.005466892088735792
